Crop_Type,Region,State,Rainfall_mm,Temp,Humidity,Fertilizer,Soil_pH,Soil_Moisture,Sunlight,Estimated_Yield_kg_ha
Rice,South,Tamil Nadu,832.4178538,28.91704142,77.29537708,157.6151493,6.388292331,57.53172609,9.515842563,4235.115209
Rice,South,Tamil Nadu,808.2631404,29.32553603,75.07316461,147.6713512,6.412098114,54.17343951,8.855016433,4035.656871
Rice,South,Tamil Nadu,794.679222,29.1885484,74.18395185,142.9384815,6.473282438,57.5484474,9.213505641,3906.287772
Rice,South,Tamil Nadu,806.3904319,29.06655355,73.69801285,151.8784901,6.369968066,57.4166125,9.079658678,4397.841728
Rice,South,Tamil Nadu,819.6625694,28.36537344,77.64508982,143.8957818,6.41044318,54.08065975,8.93436279,4149.529185
Rice,South,Tamil Nadu,838.4616645,29.10282097,75.76870344,148.4944815,6.3260739,56.56031158,9.107872246,4278.568334
Rice,South,Tamil Nadu,828.5904572,27.94217591,76.64816794,148.0745886,6.3661539,59.22335258,9.406199904,4259.692018
Rice,South,Tamil Nadu,799.0195619,28.81447257,76.66252686,154.8777256,6.376041288,57.62868205,8.978733005,3940.569006
Rice,South,Tamil Nadu,840.3131456,29.81374402,75.85597976,155.0176645,6.418081801,56.70976049,9.272279121,4350.705485
Rice,South,Tamil Nadu,819.104349,29.93878619,70.76050979,154.1095125,6.404352353,57.4019853,9.218352155,3821.864663
Rice,South,Tamil Nadu,814.5082028,29.21426754,78.95578809,147.4086489,6.35957532,56.99648591,9.383080424,4169.312666
Rice,South,Tamil Nadu,806.7559949,29.30796046,76.1941551,154.843225,6.364897345,57.34467571,9.121578369,3900.472758
Rice,South,Tamil Nadu,827.4030069,29.15663316,76.01022691,148.8270643,6.329231463,57.15870935,9.131457097,3999.65841
Rice,South,Tamil Nadu,815.9678572,29.24243051,79.7723718,150.8728891,6.41287752,57.85110817,8.816245757,4116.022919
Rice,South,Tamil Nadu,821.5057552,30.47794527,75.61527807,151.5077367,6.398264412,55.66264392,9.428564563,4232.789955
Rice,South,Tamil Nadu,839.7757987,28.45436753,78.80558862,142.9907447,6.429342855,62.38091125,9.001892735,4035.055341
Rice,South,Tamil Nadu,822.4912841,28.69791461,72.89867314,150.3428149,6.346884814,58.94718486,9.016115153,4352.490161
Rice,South,Tamil Nadu,800.4186677,28.80676309,77.62703443,143.8456784,6.411372997,60.61428551,8.878503353,4147.695079
Rice,South,Tamil Nadu,826.4970699,29.46909372,73.52609858,143.3977169,6.426097078,58.59396935,9.25009857,4171.967231
Rice,South,Tamil Nadu,802.999382,29.13935222,76.58614495,146.4282429,6.493288726,58.94766584,8.961739301,4218.483041
